Text,Label
briankempga you got my vote URL,1
if no one asks briankempga about this leaked audio story written by USER_MENTION the entire debate is a fraud URL,0
breaking in leaked audio brian kemp expresses concern over georgians exercising their right to vote brian kemp youre a racist pos and youre proof positive that the only way republicans can win is by cheating briankempga URL,0
abrams government run healthcare plan will cost billions raise taxes and literally bankrupt our state my georgiacentric healthcare plan will lower insurance premiums improve access protect rural hospitals and cover georgians with preexisting conditions Hashtag URL,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
staceyabrams voted against online voter registration staceyabrams the new georgia project botched voter registration forms staceyabrams the new georgia project lost a lawsuit blaming briankempga for their errors facts matter Hashtag gagov Hashtag,1
for years briankempga has used his office to suppress voters of color hes been sued numerous times as secretary of state purged voters from the voting rolls and held up thousands of voter registration applications Hashtag Hashtag canttrustkemp URL,0
no debate votersuppression by briankempga is real bluewave for staceyabrams defeat vote at polls Hashtag on hold black m purged to elect Hashtag denied by faulty soc sec system polls closed URL,0
reported in one georgia county you cannot vote for staceyabrams the vote is switched by the machines to briankempga USER_MENTION so afraid of a real usa vote they rig the machines.that tells me things this the first time a vote for dems is a vote for democracy Hashtag,0
as usual we presented plans for georgias future and they doubled down on baseless attacks lets keep choppin Hashtag Hashtag Hashtag Hashtag URL,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
USER_MENTION briankempga is stealing the georgia governor election before our eyes but talk about some hamilton tickets,1
briankempga Hashtag the communist party usa supports you read that correctly here it is in black and white stacey abrams is too extreme for briankempga for Hashtag Hashtag Hashtag Hashtag Hashtag URL,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
georgia briankempga is soo shady not only did he default on a loan to a friend who is now suing him to get his money back we now learn he has more in loans that he refuses to pay back this man cannot be trusted URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
audio leaked to USER_MENTION reveals briankempga telling attendees at a closeddoor campaign event that voter turnout operation to concern us especially if everybody uses and exercises their right to read my report URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
tell me about it briankempga tried to steal my vote in along with why wouldnt he go the same with money ask him how much hes spent on purging voters in yrs and why he never invested in new voting machines Hashtag Hashtag URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
tonight i presented plans to invest in education lower healthcare costs grow jobs keep families safe my opponent doubled down on false attacks to distract voters from her extreme agenda this is a battle for the soul of our state be honored to have your vote Hashtag URL,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
georgia briankempga is soo shady not only did he default on a loan to a friend who is now suing him to get his money back we now learn he has more in loans that he refuses to pay back this man cannot be trusted URL,0
tell me about it briankempga tried to steal my vote in along with why wouldnt he go the same with money ask him how much hes spent on purging voters in yrs and why he never invested in new voting machines Hashtag Hashtag URL,0
USER_MENTION briankempga liar,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
staceyabrams voted against online voter registration staceyabrams the new georgia project botched voter registration forms staceyabrams the new georgia project lost a lawsuit blaming briankempga for their errors facts matter Hashtag gagov Hashtag,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
Hashtag the communist party usa supports you read that correctly here it is in black and white stacey abrams is too extreme for briankempga for Hashtag Hashtag Hashtag Hashtag Hashtag URL,1
georgia briankempga is soo shady not only did he default on a loan to a friend who is now suing him to get his money back we now learn he has more in loans that he refuses to pay back this man cannot be trusted URL,0
Hashtag even USER_MENTION agrees stacey abrams is too extreme for georgia vote briankempga for Hashtag Hashtag Hashtag Hashtag Hashtag Hashtag URL,1
USER_MENTION USER_MENTION USER_MENTION USER_MENTION briankempga USER_MENTION USER_MENTION USER_MENTION USER_MENTION URL,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
USER_MENTION briankempga staceyabrams do you also find it that kemp disclose the terms of his loan URL,0
we have the hardest working volunteers in the country incredibly proud to have these folks on teamkemp keep choppin Hashtag Hashtag Hashtag Hashtag URL,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
georgia briankempga is soo shady not only did he default on a loan to a friend who is now suing him to get his money back we now learn he has more in loans that he refuses to pay back this man cannot be trusted URL,0
tell me about it briankempga tried to steal my vote in along with why wouldnt he go the same with money ask him how much hes spent on purging voters in yrs and why he never invested in new voting machines Hashtag Hashtag URL,0
abrams government run healthcare plan will cost billions raise taxes and literally bankrupt our state my georgiacentric healthcare plan will lower insurance premiums improve access protect rural hospitals and cover georgians with preexisting conditions Hashtag URL,1
USER_MENTION USER_MENTION USER_MENTION briankempga im voting briankempga,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
Hashtag even USER_MENTION agrees stacey abrams is too extreme for georgia vote briankempga for Hashtag Hashtag Hashtag Hashtag Hashtag Hashtag URL,1
USER_MENTION briankempga whos fault was bringing the african slaves to america a black man slavery in america was started by a black colorist back in the what happened to indians was a tragic too but somebody was gonna claim these lands eventually maybe spain mexico russia etc,0
tell me about it briankempga tried to steal my vote in along with why wouldnt he go the same with money ask him how much hes spent on purging voters in yrs and why he never invested in new voting machines Hashtag Hashtag URL,0
briankempga crook,0
georgia briankempga is soo shady not only did he default on a loan to a friend who is now suing him to get his money back we now learn he has more in loans that he refuses to pay back this man cannot be trusted URL,0
USER_MENTION briankempga Hashtag URL you expect me to believe in he said bs i just researched it theres no evidence of him doing that just the claim that he is pathetic,0
audio leaked to USER_MENTION reveals briankempga telling attendees at a closeddoor campaign event that voter turnout operation to concern us especially if everybody uses and exercises their right to read my report URL,0
tremendous job by briankempga on his debatewinning performance USER_MENTION had a great debate night with him Hashtag Hashtag Hashtag URL,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
audio leaked to USER_MENTION reveals briankempga telling attendees at a closeddoor campaign event that voter turnout operation to concern us especially if everybody uses and exercises their right to read my report URL,0
audio leaked to USER_MENTION reveals briankempga telling attendees at a closeddoor campaign event that voter turnout operation to concern us especially if everybody uses and exercises their right to read my report URL,0
USER_MENTION endorses briankempga for georgia governor URL,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
brian kemp got my early vote briankempga for governor of ga USER_MENTION is correct socialist agenda pushing abrams is not for us votedemsout voteredtosaveamerica URL,1
georgia briankempga is soo shady not only did he default on a loan to a friend who is now suing him to get his money back we now learn he has more in loans that he refuses to pay back this man cannot be trusted URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
teamkemp is hosting a debate watch party this evening at the campaign headquarters in atlanta arrive early to help make some calls and fill out a few postcards Hashtag Hashtag Hashtag Hashtag URL,1
Hashtag even USER_MENTION agrees stacey abrams is too extreme for georgia vote briankempga for Hashtag Hashtag Hashtag Hashtag Hashtag Hashtag URL,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
USER_MENTION briankempga has suppressed the vote of tens of thous still race is neck neck USER_MENTION spilled the beans the repug intentions gut ss medicare medicaid pay the tax cut given the richest americans like trump plus all of them voted end preexist cond,0
audio leaked to USER_MENTION reveals briankempga telling attendees at a closeddoor campaign event that voter turnout operation to concern us especially if everybody uses and exercises their right to read my report URL,0
the putting georgians first bus tour just rolled into alma folks are excited about my plan to raise teacher pay expand access to high speed internet and quality affordable healthcare Hashtag Hashtag Hashtag Hashtag URL,1
audio leaked to USER_MENTION reveals briankempga telling attendees at a closeddoor campaign event that voter turnout operation to concern us especially if everybody uses and exercises their right to read my report URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
brian kemp got my early vote briankempga for governor of ga USER_MENTION is correct socialist agenda pushing abrams is not for us votedemsout voteredtosaveamerica URL,1
USER_MENTION USER_MENTION briankempga USER_MENTION i hope it rains blue all over georgia in buckets full,0
USER_MENTION it was hard to watch this election without losing my cool with the smugness of former Hashtag briankempga staceyabrams is so qualified shes overqualified,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
briankempga may be in southeast ga today but his policies hold true for Hashtag Hashtag and the Hashtag area as well staceyabrams is bad for our state period votered vote briankempga for Hashtag of Hashtag,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
USER_MENTION USER_MENTION briankempga staceyabrams what a tool,1
the putting georgians first bus tour just rolled into alma folks are excited about my plan to raise teacher pay expand access to high speed internet and quality affordable healthcare Hashtag Hashtag Hashtag Hashtag URL,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
proud to have the strong support of bacon county sheriff mark cothren unlike my opponent who voted against stronger protections for law enforcement i will always backtheblue Hashtag Hashtag Hashtag Hashtag URL,0
USER_MENTION briankempga sounds just like his dear leader,1
georgia briankempga is soo shady not only did he default on a loan to a friend who is now suing him to get his money back we now learn he has more in loans that he refuses to pay back this man cannot be trusted URL,0
audio leaked to USER_MENTION reveals briankempga telling attendees at a closeddoor campaign event that voter turnout operation to concern us especially if everybody uses and exercises their right to read my report URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
georgia briankempga is soo shady not only did he default on a loan to a friend who is now suing him to get his money back we now learn he has more in loans that he refuses to pay back this man cannot be trusted URL,0
audio leaked to USER_MENTION reveals briankempga telling attendees at a closeddoor campaign event that voter turnout operation to concern us especially if everybody uses and exercises their right to read my report URL,0
USER_MENTION briankempga california is clean thanks to our governor oh and the largest economy in the world so good thanks,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
georgia briankempga is soo shady not only did he default on a loan to a friend who is now suing him to get his money back we now learn he has more in loans that he refuses to pay back this man cannot be trusted URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
georgia briankempga is soo shady not only did he default on a loan to a friend who is now suing him to get his money back we now learn he has more in loans that he refuses to pay back this man cannot be trusted URL,0
Hashtag the communist party usa supports you read that correctly here it is in black and white stacey abrams is too extreme for briankempga for Hashtag Hashtag Hashtag Hashtag Hashtag URL,1
tell me about it briankempga tried to steal my vote in along with why wouldnt he go the same with money ask him how much hes spent on purging voters in yrs and why he never invested in new voting machines Hashtag Hashtag URL,0
USER_MENTION USER_MENTION USER_MENTION briankempga hows this i will host of them and will make it a kegger as long as you open your house up to babies that were saved due to mothers that were raped or didnt want to get pregnant drop their kids off so you can look after them when abortion is outlawed deal,0
tell me about it briankempga tried to steal my vote in along with why wouldnt he go the same with money ask him how much hes spent on purging voters in yrs and why he never invested in new voting machines Hashtag Hashtag URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
briankempga USER_MENTION USER_MENTION USER_MENTION if the fake USER_MENTION supports you its because you will fit right into the normalcy of corruption under his administration no sooner do we put republicans in power you make us regret it because of corruption debasing the constitution and cheating to win,0
georgia briankempga is soo shady not only did he default on a loan to a friend who is now suing him to get his money back we now learn he has more in loans that he refuses to pay back this man cannot be trusted URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
no debate votersuppression by briankempga is real bluewave for staceyabrams defeat vote at polls Hashtag on hold black m purged to elect Hashtag denied by faulty soc sec system polls closed URL,0
audio leaked to USER_MENTION reveals briankempga telling attendees at a closeddoor campaign event that voter turnout operation to concern us especially if everybody uses and exercises their right to read my report URL,0
tell me about it briankempga tried to steal my vote in along with why wouldnt he go the same with money ask him how much hes spent on purging voters in yrs and why he never invested in new voting machines Hashtag Hashtag URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
leaked audio reveals that republican briankempga is worried lose everybody exercises their right to URL,0
just got my absentee ballot in the mail and happily voting for briankempga today staceyabrams will bring a radical leftwing agenda to georgia that will destroy our growing economy Hashtag,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
tell me about it briankempga tried to steal my vote in along with why wouldnt he go the same with money ask him how much hes spent on purging voters in yrs and why he never invested in new voting machines Hashtag Hashtag URL,0
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
staceyabrams voted against online voter registration staceyabrams the new georgia project botched voter registration forms staceyabrams the new georgia project lost a lawsuit blaming briankempga for their errors facts matter Hashtag gagov Hashtag,1
leaked audio reveals that republican briankempga is worried lose everybody exercises their right to URL,0
Hashtag even USER_MENTION agrees stacey abrams is too extreme for georgia vote briankempga for Hashtag Hashtag Hashtag Hashtag Hashtag Hashtag URL,1
big thanks to the bacon county chamber of commerce for the warm welcome and gift basket appreciate their efforts to recruit and retain businesses in their community ill be a governor who partners with these folks to strengthen rural georgia Hashtag URL,1
remember when folks were bent about staceyabrams owing the irs and carrying more than in student debt briankempga owes more than in insider loans certainly he will be exposed to the proportional amount of scrutiny and shame right URL,0
